unique_key,city
69404997,BROOKLYN
69409577,BROOKLYN
69412083,NEW YORK
69404885,QUEENS VILLAGE
69401800,QUEENS VILLAGE
69410216,BRONX
69401926,NEW YORK
69406384,UNKNOWN
69408967,QUEENS
69401874,NEW YORK
69404823,BROOKLYN
69401774,UNKNOWN
69401721,STATEN ISLAND
69410450,QUEENS
69407861,NEW YORK
69406363,JAMAICA
69410734,BROOKLYN
69403286,COLLEGE POINT
69407933,NEW YORK
69408968,QUEENS
69405748,BROOKLYN
69412174,BRONX
69407543,QUEENS
69404908,BROOKLYN
69409177,BRONX
69404829,BRONX
69409171,BROOKLYN
69401811,WOODSIDE
69404998,JACKSON HEIGHTS
69401545,QUEENS
69412220,BROOKLYN
69403325,BROOKLYN
69406403,CORONA
69406176,BROOKLYN
69404895,BROOKLYN
69404254,BROOKLYN
69412338,NEW YORK
69410699,QUEENS VILLAGE
69406316,WOODHAVEN
69404833,BRONX
69406187,UNKNOWN
69401830,WOODSIDE
69412467,NEW YORK
69403209,MIDDLE VILLAGE
69407793,BRONX
69404816,SOUTH OZONE PARK
69407226,BROOKLYN
69407203,BROOKLYN
69407832,HOLLIS
69401818,NEW YORK
69401768,UNKNOWN
69407821,NEW YORK
69404209,BROOKLYN
69404824,BROOKLYN
69403273,BROOKLYN
69406178,BROOKLYN
69409256,NEW YORK
69404873,BROOKLYN
69401775,OZONE PARK
69406315,BRONX
69409231,BRONX
69412186,MASPETH
69412327,JACKSON HEIGHTS
69404817,BROOKLYN
69403346,NEW YORK
69407862,NEW YORK
69410829,JACKSON HEIGHTS
69407289,BROOKLYN
69407849,BRONX
69409186,UNKNOWN
69401178,BROOKLYN
69410731,BRONX
69410697,BROOKLYN
69403461,BROOKLYN
69406355,BROOKLYN
69406183,WOODSIDE
69401754,STATEN ISLAND
69406367,BRONX
69411276,BROOKLYN
69401828,NEW YORK
69403115,FRESH MEADOWS
69409176,BRONX
69410753,BRONX
69406313,WOODHAVEN
69407852,BRONX
69403287,COLLEGE POINT
69412187,ELMHURST
69404843,BROOKLYN
69406369,BROOKLYN
69403125,BROOKLYN
69401832,BRONX
69409167,NEW YORK
69401273,NEW YORK
69408775,BRONX
69407780,BROOKLYN
69407322,NEW YORK
69407791,OZONE PARK
69403289,BROOKLYN
69401541,BRONX
69406231,FLUSHING
69408741,NEW YORK
69407853,BRONX
69404156,BROOKLYN
69412246,BRONX
69407844,NEW YORK
69403281,BROOKLYN
69404906,NEW YORK
69404846,UNKNOWN
69409219,BROOKLYN
69403120,JAMAICA
69405788,BROOKLYN
69405793,BRONX
69409198,BROOKLYN
69404368,FAR ROCKAWAY
69407840,UNKNOWN
69401222,BROOKLYN
69410729,WOODHAVEN
69409241,UNKNOWN
69409237,BROOKLYN
69410741,BRONX
69404711,FLUSHING
69408370,BRONX
69412214,NEW YORK
69407174,NEW YORK
69411496,QUEENS
69412469,RIDGEWOOD
69410727,NEW YORK
69401831,NEW YORK
69405812,NEW YORK
69403114,BROOKLYN
69410696,BRONX
69406505,NEW YORK
69401829,BROOKLYN
69404845,COLLEGE POINT
69401794,BROOKLYN
69402700,BRONX
69403342,NEW YORK
69411391,NEW YORK
69402798,BRONX
69404904,BRONX
69410763,NEW YORK
69408686,BROOKLYN
69410211,NEW YORK
69406366,HOLLIS
69412370,NEW YORK
69411629,FRESH MEADOWS
69401567,FRESH MEADOWS
69406381,NEW YORK
69410742,NEW YORK
69405716,BROOKLYN
69404861,NEW YORK
69401866,ELMHURST
69401181,FRESH MEADOWS
69412211,NEW YORK
69403274,BRONX
69404678,BROOKLYN
69410738,BRONX
69404912,FOREST HILLS
69409180,ELMHURST
69404896,NEW YORK
69401771,BROOKLYN
69401250,BRONX
69410165,UNKNOWN
69407323,BRONX
69410698,OAKLAND GARDENS
69410958,BROOKLYN
69410700,UNKNOWN
69409781,BRONX
69404326,BROOKLYN
69404822,BROOKLYN
69404882,BROOKLYN
69408718,NEW YORK
69408350,BRONX
69407047,REGO PARK
69408747,BRONX
69410234,BROOKLYN
69407786,NEW YORK
69407775,BRONX
69411371,JAMAICA
69403349,BROOKLYN
69405815,BROOKLYN
69406508,NEW YORK
69407788,NEW YORK
69409105,NEW YORK
69401308,BROOKLYN
69411688,NEW YORK
69412221,OZONE PARK
69410806,BROOKLYN
69409195,NEW YORK
69404820,UNKNOWN
69410155,BRONX
69402760,BRONX
69401770,NEW YORK
69401693,BRONX
69412234,BRONX
69404285,BRONX
69410535,ASTORIA
69404302,BROOKLYN
69408353,BRONX
69410156,BROOKLYN
69409234,BRONX
69401321,BROOKLYN
69410649,JAMAICA
69412166,LONG ISLAND CITY
69410462,BROOKLYN
69412531,OZONE PARK
69406173,STATEN ISLAND
69410219,UNKNOWN
69401323,BROOKLYN
69406325,BROOKLYN
69401796,NEW YORK
69403206,BROOKLYN
69401827,NEW YORK
69402790,NEW YORK
69407814,BROOKLYN
69402575,FAR ROCKAWAY
69404362,BROOKLYN
69409046,BROOKLYN
69407538,BRONX
69411623,BROOKLYN
69401641,BROOKLYN
69403420,NEW YORK
69405526,BRONX
69405352,FRESH MEADOWS
69400865,MASPETH
69412177,BROOKLYN
69411689,BRONX
69403308,NEW YORK
69402774,BRONX
69406374,SOUTH RICHMOND HILL
69409897,JAMAICA
69407836,NEW YORK
69406443,NEW YORK
69404923,BROOKLYN
69409260,BROOKLYN
69407842,BRONX
69409221,NEW YORK
69405066,JAMAICA
69407566,NEW YORK
69412278,BROOKLYN
69410830,NEW YORK
69409557,UNKNOWN
69408772,BROOKLYN
69408682,NEW YORK
69401765,EAST ELMHURST
69410952,GLEN OAKS
69406873,BRONX
69407563,FRESH MEADOWS
69401909,NEW YORK
69401238,FRESH MEADOWS
69410212,BROOKLYN
69412329,NEW YORK
69405848,BROOKLYN
69404863,BROOKLYN
69405729,FRESH MEADOWS
69401805,NEW YORK
69410732,BROOKLYN
69410745,BRONX
69410151,BROOKLYN
69405679,BRONX
69411555,BROOKLYN
69407831,BRONX
69404888,NEW YORK
69405067,JAMAICA
69404328,BRONX
69410543,FLUSHING
69411690,BRONX
69403421,NEW YORK
69407817,SOUTH OZONE PARK
69411699,BROOKLYN
69404305,BROOKLYN
69407920,NEW YORK
69402393,BRONX
69403290,BROOKLYN
69405894,BROOKLYN
69401625,STATEN ISLAND
69403321,SOUTH RICHMOND HILL
69401826,NEW YORK
69404831,STATEN ISLAND
69401910,NEW YORK
69411632,NEW YORK
69411599,BRONX
69407293,BROOKLYN
69408465,FRESH MEADOWS
69407245,BRONX
69401813,NEW YORK
69410138,BRONX
69404222,BRONX
69412330,NEW YORK
69403318,NEW YORK
69410217,BRONX
69404119,STATEN ISLAND
69407789,OAKLAND GARDENS
69403592,UNKNOWN
69404832,STATEN ISLAND
69405791,BRONX
69411711,BROOKLYN
69407838,BRONX
69401911,NEW YORK
69407763,UNKNOWN
69410831,NEW YORK
69403378,NEW YORK
69404834,WHITESTONE
69409248,BRONX
69405430,BROOKLYN
69410740,BRONX
69403422,NEW YORK
69406350,BROOKLYN
69403272,ELMHURST
69410668,BROOKLYN
69409790,STATEN ISLAND
69411324,NEW YORK
69404870,FRESH MEADOWS
69410918,JAMAICA
69408708,BRONX
69410747,BRONX
69402510,NEW YORK
69407291,BROOKLYN
69407837,BRONX
69407336,NEW YORK
69407689,ASTORIA
69402765,BROOKLYN
69407264,CAMBRIA HEIGHTS
69401207,WOODHAVEN
69404216,NEW YORK
69407772,WHITESTONE
69404939,UNKNOWN
69408354,NEW YORK
69407160,NEW YORK
69407629,HOLLIS
69412085,BROOKLYN
69400921,BROOKLYN
69407284,NEW YORK
69410240,BRONX
69410005,BRONX
69401812,BRONX
69412515,FLUSHING
69403464,NEW YORK
69404869,STATEN ISLAND
69405543,FRESH MEADOWS
69403333,JACKSON HEIGHTS
69406835,BRONX
69402701,NEW YORK
69409042,BROOKLYN
69407828,SOUTH RICHMOND HILL
69404840,BRONX
69410139,UNKNOWN
69411550,NEW YORK
69410752,BROOKLYN
69407816,BROOKLYN
69407157,NEW YORK
69410628,BROOKLYN
69409086,BRONX
69405529,NEW YORK
69402371,BROOKLYN
69409506,UNKNOWN
69401793,NEW YORK
69401182,FRESH MEADOWS
69411647,FRESH MEADOWS
69406122,FRESH MEADOWS
69407841,NEW YORK
69407770,BROOKLYN
69404329,NEW YORK
69410529,BROOKLYN
69410164,NEW YORK
69401165,UNKNOWN
69404175,UNKNOWN
69409375,BROOKLYN
69407166,BROOKLYN
69402672,KEW GARDENS
69404360,BRONX
69402305,BRONX
69402645,NEW YORK
69410094,BRONX
69402647,UNKNOWN
69401627,FLUSHING
69401819,BROOKLYN
69404174,UNKNOWN
69408644,UNKNOWN
69404177,UNKNOWN
69404821,ELMHURST
69407158,NEW YORK
69410751,BRONX
69410141,BROOKLYN
69405153,JAMAICA
69411558,BROOKLYN
69412230,UNKNOWN
69401175,BROOKLYN
69402817,UNKNOWN
69411090,NEW YORK
69405727,BROOKLYN
69407156,UNKNOWN
69406885,BROOKLYN
69404176,NEW YORK
69401759,FOREST HILLS
69404035,REGO PARK
69402648,UNKNOWN
69406382,NEW YORK
69402731,BROOKLYN
69411644,FAR ROCKAWAY
69409816,BROOKLYN
69407767,MASPETH
69403402,BRONX
69409049,BRONX
69401166,UNKNOWN
69408762,NEW YORK
69407768,MASPETH
69401163,NEW YORK
69406189,FLUSHING
69407893,NEW YORK
69408095,UNKNOWN
69404242,CAMBRIA HEIGHTS
69410760,FRESH MEADOWS
69412222,SOUTH OZONE PARK
69411708,NEW YORK
69402771,BRONX
69410735,BRONX
69404876,BROOKLYN
69409217,ASTORIA
69402646,NEW YORK
69411653,NEW YORK
69411616,BROOKLYN
69403278,BROOKLYN
69407221,BROOKLYN
69409394,UNKNOWN
69407925,NEW YORK
69407339,NEW YORK
69408768,NEW YORK
69405544,UNKNOWN
69407159,NEW YORK
69407805,BROOKLYN
69402756,BROOKLYN
69404280,UNKNOWN
69402686,BROOKLYN
69410840,NEW YORK
69402654,BROOKLYN
69405833,NEW YORK
69407167,BROOKLYN
69410542,BROOKLYN
69404266,BRONX
69400965,NEW YORK
69410737,EAST ELMHURST
69402715,BROOKLYN
69406492,NEW YORK
69410210,BROOKLYN
69410179,WOODSIDE
69405156,STATEN ISLAND
69410841,NEW YORK
69407839,BRONX
69412013,NEW YORK
69411654,JACKSON HEIGHTS
69405719,NEW YORK
69408630,BROOKLYN
69405875,NEW YORK
69405447,BROOKLYN
69403881,BROOKLYN
69401215,STATEN ISLAND
69401252,FRESH MEADOWS
69401918,NEW YORK
69408988,FRESH MEADOWS
69411254,BROOKLYN
69401322,BROOKLYN
69412229,BRONX
69411571,JAMAICA
69409588,UNKNOWN
69402805,BROOKLYN
69405264,NEW YORK
69409194,MASPETH
69410309,NEW YORK
69406449,BROOKLYN
69410162,NEW YORK
69404837,BROOKLYN
69411358,NEW YORK
69404884,BROOKLYN
69410093,FRESH MEADOWS
69410755,NEW YORK
69402621,MANHATTAN
69410750,BRONX
69411619,SOUTH RICHMOND HILL
69407926,BROOKLYN
69403117,ASTORIA
69410686,BRONX
69409432,BROOKLYN
69408642,BROOKLYN
69405674,QUEENS VILLAGE
69412052,STATEN ISLAND
69408673,BROOKLYN
69411545,QUEENS
69404901,NEW YORK
69409238,EAST ELMHURST
69408290,UNKNOWN
69403425,BROOKLYN
69402781,BRONX
69410135,BROOKLYN
69401822,BROOKLYN
69402763,BROOKLYN
69404611,NEW YORK
69407834,NEW YORK
69410842,NEW YORK
69409437,BROOKLYN
69410098,BRONX
69410104,BROOKLYN
69409963,BRONX
69404909,BROOKLYN
69403279,MASPETH
69407240,NEW YORK
69404991,NEW YORK
69410599,UNKNOWN
69410220,BRONX
69401618,FRESH MEADOWS
69409991,BROOKLYN
69405765,BRONX
69410843,NEW YORK
69403962,BRONX
69401195,BRONX
69407116,HOWARD BEACH
69407337,BROOKLYN
69411151,BRONX
69409255,NEW YORK
69404233,BRONX
69409341,NEW YORK
69408645,FRESH MEADOWS
69402922,BRONX
69404482,BRONX
69408816,BRONX
69408902,BRONX
69407421,BRONX
69404226,BROOKLYN
69407996,BROOKLYN
69411085,ASTORIA
69409245,BRONX
69407220,JAMAICA
69406221,UNKNOWN
69409250,BROOKLYN
69409342,NEW YORK
69401148,QUEENS
69402600,BROOKLYN
69405266,JACKSON HEIGHTS
69404881,WOODSIDE
69401698,BROOKLYN
69401186,FRESH MEADOWS
69412160,NEW YORK
69402812,BROOKLYN
69412332,NEW YORK
69404148,QUEENS
